"","gender","university","living_zone","grade","tech_experience","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers.","X7.I.have.an.understanding.of.the.basic.computational.principles.of.artificial.intelligence..AI.","X8.I.am.comfortable.with.the.nomenclature.related.to.artificial.intelligence","X9.I.have.an.understanding.of.the.limitations.of.artificial.intelligence","X10.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Were.you.already.aware.of.these.topics.in.radiology..","X11.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Do.you.personally.have.a.basic.understanding.of.the.technologies.used.in.these.topics..","X13.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.is.a.class.of.machine.learning.algorithms.that.use.multiple.layers.of.neural.networks..","X14.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.methods.learn.directly.from.data..without.the.need.for.manual.feature.extraction..","X15.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Application.of.deep.learning.in.radiology.requires.large.databases.of.labeled.medical.images..","X16.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.systems.are.often.opaque..it.can.be.difficult.to.delineate.the.underlying..thought.process...","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","X27.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.radiology.","X28.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.medicine.in.general.","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","X30.Which.of.these.specialties.do.you.think.will.be.impacted.the.earliest.and.most.","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","X36.Would.you.consider.using.the.following.clinical.workflow..Patients..clinical.images.undergo.artificial.intelligence.analysis..A.specialist.subsequently.reviews.both.the.image.and.the.artificial.intelligence.findings.","X37.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.detection.of.pathologies.in.imaging.exams.","X38.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.diagnosis.in.imaging.exams.","X39.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.indication.of.appropriate.imaging.exams.","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers..1","df.ai_training","df.knowledge_merged"
"23","Female","Governnmental","Rural","2","3","9","0","9","0","1","1","9","9","9","9","9","9","9","9","9","9","9","1","9","1","1","9","9","9","1","1","1","1","1","9","1","1","1","N","No","low"
"24","Male","Private","Urban","3","1","0","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","1","1","9","9","1","1","1","9","9","9","0","0","9","9","9","9","9","D/SD","No","low"
"25","Female","Private","Urban","4","4","1","1","9","9","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9","9","0","0","0","0","1","1","1","1","A/SA","Yes","high/moderate"
"26","Male","Governnmental","Urban","4","4","1","9","9","9","0","0","0","0","1","0","1","9","1","1","0","9","1","1","9","1","1","1","9","9","1","9","9","9","1","1","9","9","9","A/SA","No","low"
"27","Female","Governnmental","Rural","5","3","9","1","0","0","0","0","9","9","9","9","1","1","1","1","9","9","9","9","1","1","1","1","9","9","1","1","1","9","9","9","9","9","9","N","No","low"
"28","Male","Private","Rural","6","2","0","0","9","0","0","0","9","9","9","9","9","9","9","9","9","9","1","1","1","1","1","1","1","9","1","1","1","1","1","0","9","1","1","D/SD","No","low"
"29","Male","Governnmental","Urban","6","3","9","0","0","0","0","0","9","1","1","9","1","1","0","1","0","1","1","1","0","1","1","1","1","9","1","1","1","9","0","1","1","1","1","N","No","low"
"30","Male","Governnmental","Urban","6","5","1","9","1","1","0","0","1","1","1","1","1","1","9","9","9","9","1","1","1","1","1","1","9","9","9","1","1","1","9","1","1","1","1","A/SA","No","high/moderate"
"31","Male","Governnmental","Urban","6","4","1","9","9","9","0","0","9","9","9","9","1","1","1","9","9","9","1","1","1","1","1","1","1","9","1","1","1","9","9","1","1","1","1","A/SA","No","low"
"32","Female","Governnmental","Urban","Intern (Emtyaz)","4","1","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","9","9","9","9","1","1","1","9","1","0","9","9","1","9","9","9","9","A/SA","No","low"
"33","Male","Private","Rural","Intern (Emtyaz)","2","0","1","0","1","1","1","9","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9","1","1","1","1","1","1","1","1","1","D/SD","Yes","high/moderate"
"34","Male","Private","Urban","3","4","1","0","0","0","0","0","1","9","1","9","1","1","9","0","0","0","1","1","1","9","1","1","0","9","9","9","9","9","9","1","9","9","9","A/SA","No","low"
"35","Female","International","Rural","6","4","1","9","9","1","1","0","9","9","1","9","9","9","1","1","1","9","9","9","1","1","1","9","9","9","9","1","1","1","9","9","9","9","1","A/SA","Yes","low"
"36","Male","Governnmental","Rural","2","5","1","1","1","1","0","1","1","1","1","0","1","1","0","0","0","0","1","9","1","9","1","1","9","9","9","9","1","1","1","1","1","1","9","A/SA","No","high/moderate"
"37","Male","Governnmental","Urban","3","5","1","1","9","1","0","0","1","1","1","1","1","1","9","1","0","1","1","1","0","1","1","1","9","9","1","1","1","1","9","9","1","1","1","A/SA","No","high/moderate"
"38","Female","Governnmental","Rural","5","4","1","9","1","1","1","0","9","1","1","0","1","1","9","9","1","1","0","9","0","0","1","1","0","9","1","1","1","1","1","1","1","1","9","A/SA","Yes","high/moderate"
"39","Female","Governnmental","Urban","6","4","1","1","1","9","1","0","1","0","1","1","1","1","0","0","0","0","9","1","0","0","1","1","9","9","1","1","0","0","0","1","1","1","1","A/SA","No","high/moderate"
"40","Male","Governnmental","Urban","6","4","1","0","0","9","0","0","1","9","9","9","9","9","1","9","9","0","9","9","9","1","0","9","1","9","1","9","1","9","9","9","1","1","9","A/SA","No","low"
"41","Female","Governnmental","Urban","1","4","1","9","9","1","0","0","1","0","9","1","1","1","0","0","0","9","9","1","9","9","1","1","1","9","9","9","0","0","0","1","1","9","1","A/SA","No","low"
"42","Male","Governnmental","Rural","1","5","1","0","0","0","0","0","9","9","9","9","1","1","9","9","9","0","1","1","9","1","1","1","9","9","1","1","1","1","1","1","1","1","1","A/SA","No","low"
"43","Female","Governnmental","Urban","2","2","0","9","0","1","1","0","1","0","0","0","9","1","9","0","1","0","9","9","9","9","9","9","9","9","9","9","1","1","1","1","9","9","9","D/SD","Yes","low"
"44","Female","Governnmental","Urban","2","4","1","0","1","0","0","0","1","0","1","9","1","1","0","0","0","1","9","9","1","1","1","1","9","9","1","1","1","1","9","9","0","0","1","A/SA","No","low"
"45","Female","Governnmental","Urban","3","4","1","0","0","9","1","0","1","9","1","9","1","1","1","9","0","1","1","1","1","1","1","1","1","9","1","1","0","0","9","1","1","1","1","A/SA","No","low"
"46","Female","Governnmental","Urban","3","2","0","9","9","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","0","9","1","1","1","1","9","1","9","9","9","D/SD","No","high/moderate"
"47","Male","Governnmental","Urban","4","4","1","9","9","0","0","1","1","1","1","0","1","1","9","0","0","1","9","1","1","1","1","1","9","9","1","1","9","9","9","1","1","9","1","A/SA","No","low"
"48","Male","Governnmental","Rural","5","3","9","1","1","9","1","0","9","9","1","9","1","1","0","0","0","0","1","1","0","0","1","1","9","9","1","1","1","1","1","1","9","1","1","N","No","low"
"49","Male","Governnmental","Rural","5","4","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","0","1","1","1","9","1","1","0","9","9","1","1","1","1","1","1","1","1","A/SA","No","high/moderate"
"50","Female","Governnmental","Urban","Intern (Emtyaz)","5","1","1","1","1","1","1","1","0","1","9","1","1","1","1","0","0","1","1","1","1","1","1","0","9","1","1","1","1","1","1","1","1","1","A/SA","Yes","high/moderate"
"51","Female","Governnmental","Urban","1","4","1","0","0","0","0","0","9","9","9","9","1","1","0","0","0","0","1","1","1","1","1","1","1","9","1","1","9","9","9","1","1","9","1","A/SA","No","low"
"52","Male","Governnmental","Urban","2","3","9","1","1","0","0","0","0","9","9","0","1","1","1","1","9","0","1","1","1","0","1","1","0","9","1","1","1","9","1","1","1","1","1","N","No","low"
"53","Male","Governnmental","Urban","2","4","1","1","9","1","0","0","1","1","9","0","9","1","9","0","0","0","1","1","1","9","9","1","9","9","9","9","9","0","0","1","1","1","9","A/SA","No","low"
"54","Female","Governnmental","Urban","2","2","0","0","0","0","1","0","9","9","9","9","1","1","9","9","9","9","9","1","9","9","1","1","9","9","0","0","0","0","0","9","9","9","9","D/SD","No","low"
"55","Female","Governnmental","Urban","2","3","9","9","9","1","1","1","1","0","1","0","1","1","1","1","1","9","0","0","1","9","1","9","1","9","9","9","0","1","0","1","1","9","0","N","No","high/moderate"
"56","Male","Governnmental","Urban","2","3","9","9","9","0","1","0","1","0","1","9","1","1","1","9","9","0","9","1","1","1","1","1","1","9","9","9","9","9","9","1","9","9","9","N","No","low"
"57","Male","Governnmental","Urban","2","2","0","0","9","0","0","0","9","9","1","9","9","9","9","9","9","1","1","1","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","D/SD","No","low"
"58","Male","Governnmental","Urban","2","5","1","1","1","1","0","1","1","1","9","9","1","1","1","1","1","0","1","1","0","1","1","1","0","9","1","1","1","1","1","1","1","1","9","A/SA","No","high/moderate"
"59","Male","Governnmental","Urban","2","4","1","9","9","1","1","1","1","1","9","9","1","1","0","0","0","0","1","1","1","1","1","1","0","9","1","9","9","9","9","1","1","1","1","A/SA","No","high/moderate"
"60","Male","Governnmental","Urban","2","5","1","1","1","9","1","0","9","1","1","1","1","1","9","0","0","1","0","9","0","1","1","1","9","9","9","9","1","9","1","1","1","1","1","A/SA","No","high/moderate"
"61","Male","Governnmental","Urban","2","5","1","1","1","1","0","1","1","0","1","0","1","1","0","0","0","0","9","1","9","1","1","1","9","9","1","1","1","1","1","1","1","9","1","A/SA","No","high/moderate"
"62","Male","Governnmental","Rural","2","2","0","9","0","9","1","1","1","0","1","0","1","1","1","1","1","1","1","1","9","1","1","1","9","9","1","1","1","9","1","0","1","1","1","D/SD","Yes","low"
"63","Female","Governnmental","Urban","2","5","1","1","1","1","1","1","1","0","1","0","1","0","0","9","0","0","9","0","9","0","9","1","9","9","0","9","1","0","1","1","1","9","0","A/SA","No","high/moderate"
"64","Male","Governnmental","Urban","2","4","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","1","1","A/SA","Yes","high/moderate"
"65","Female","Governnmental","Urban","3","3","9","9","9","9","1","1","1","0","1","1","1","1","0","0","0","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","N","Yes","high/moderate"
"66","Female","Governnmental","Urban","3","3","9","0","0","0","0","0","9","9","9","9","9","1","0","0","0","9","1","1","9","1","1","1","1","9","9","9","9","9","9","1","1","1","1","N","No","low"
"67","Male","Governnmental","Urban","3","3","9","0","9","9","1","0","1","1","1","1","1","1","9","0","0","9","1","1","1","9","1","1","0","9","1","1","0","0","0","9","1","9","0","N","No","high/moderate"
"68","Male","Private","Urban","3","5","1","0","0","9","0","0","9","9","9","9","1","1","1","1","0","1","9","9","9","1","9","1","1","9","0","9","1","9","1","9","1","1","1","A/SA","No","low"
"69","Female","Governnmental","Urban","3","3","9","9","1","9","0","0","9","9","9","9","9","9","9","9","0","9","0","0","0","9","1","1","9","9","9","1","9","9","9","9","9","9","9","N","No","low"
"70","Male","Governnmental","Urban","3","4","1","9","1","1","0","0","1","9","0","1","9","1","1","9","1","9","1","9","1","1","9","1","1","9","1","9","1","9","1","0","1","1","1","A/SA","No","low"
"71","Male","Governnmental","Urban","3","5","1","0","0","0","1","0","0","1","9","0","0","0","1","1","9","1","1","1","1","0","0","1","9","9","9","0","9","9","9","0","0","1","9","A/SA","No","low"
"72","Female","Governnmental","Urban","3","4","1","1","1","9","1","0","1","9","0","9","1","1","1","1","1","1","9","1","1","1","1","1","1","9","9","0","9","1","0","1","0","1","1","A/SA","No","low"
"73","Male","Governnmental","Urban","3","4","1","1","1","1","1","0","1","0","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","9","9","1","1","9","1","1","9","0","1","A/SA","No","high/moderate"
"74","Male","Governnmental","Urban","3","3","9","0","0","0","0","0","9","9","9","9","1","1","0","0","0","0","0","9","0","0","1","1","9","9","0","0","1","0","1","1","1","1","9","N","No","low"
"75","Male","Governnmental","Urban","3","3","9","1","0","9","1","0","1","0","1","1","1","1","1","1","1","1","1","9","0","1","1","1","1","9","1","1","0","0","0","1","1","1","1","N","No","high/moderate"
"76","Female","Governnmental","Urban","4","3","9","0","0","0","0","0","9","9","9","9","1","0","0","0","0","0","9","9","1","0","1","1","1","9","0","0","1","1","9","9","9","9","9","N","No","low"
"77","Male","Governnmental","Urban","5","2","0","0","0","0","1","1","0","0","1","1","9","1","1","0","1","1","1","1","1","1","1","1","1","9","0","0","0","0","0","9","0","1","9","D/SD","No","low"
"78","Male","Governnmental","Rural","5","5","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","1","1","0","9","1","1","0","9","9","1","1","0","0","1","1","1","1","A/SA","No","high/moderate"
"79","Male","Governnmental","Urban","5","5","1","1","9","9","0","0","1","9","1","9","9","1","9","0","0","9","0","0","1","9","1","1","0","9","1","1","9","9","9","1","1","9","1","A/SA","No","low"
"80","Female","Private","Urban","5","5","1","9","0","0","0","0","9","9","9","9","9","1","0","9","0","0","1","1","0","0","1","1","0","9","1","1","0","0","0","1","1","1","9","A/SA","No","low"
"81","Male","Governnmental","Urban","6","4","1","9","9","1","1","1","1","0","1","1","1","1","1","1","9","0","9","1","9","1","1","1","1","9","1","1","9","1","9","1","1","0","9","A/SA","Yes","high/moderate"
"82","Female","Governnmental","Urban","Intern (Emtyaz)","4","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","0","1","1","9","1","1","1","9","9","1","9","1","1","1","1","1","9","9","A/SA","No","high/moderate"
"83","Male","Private","Urban","2","5","1","1","0","0","1","0","9","9","1","1","9","1","1","1","1","9","1","1","9","1","1","1","1","9","1","1","0","1","9","9","1","9","1","A/SA","No","low"
"84","Female","Private","Urban","2","5","1","1","0","1","1","1","1","1","1","0","0","9","0","0","0","1","1","9","1","0","1","1","0","9","0","0","1","1","9","0","0","0","1","A/SA","Yes","high/moderate"
"85","Female","Private","Rural","2","4","1","1","1","1","0","1","1","1","9","9","1","1","1","1","0","9","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","1","1","A/SA","Yes","high/moderate"
"86","Female","Governnmental","Rural","5","4","1","1","1","1","1","1","1","0","1","9","1","1","0","0","0","0","1","1","0","1","1","1","0","9","1","1","9","9","9","1","1","1","1","A/SA","Yes","high/moderate"
"87","Female","Governnmental","Rural","5","4","1","9","9","0","1","0","9","0","9","9","1","1","9","9","9","9","1","1","9","1","1","1","1","9","1","1","1","9","9","1","1","1","1","A/SA","No","low"
"88","Female","Governnmental","Rural","5","2","0","9","9","1","0","1","9","1","1","9","9","1","1","9","1","9","1","9","1","9","1","1","1","9","9","0","9","9","1","0","1","1","9","D/SD","Yes","low"
"89","Female","Governnmental","Rural","6","3","9","9","0","1","0","0","9","0","1","1","9","1","9","9","9","9","1","1","1","1","1","1","9","9","1","1","1","1","1","1","9","1","1","N","No","low"
"90","Female","Governnmental","Rural","6","4","1","1","1","1","1","1","9","0","0","1","1","1","0","0","0","1","1","1","9","1","1","1","9","9","1","1","1","9","9","1","1","1","1","A/SA","No","high/moderate"
"91","Female","Governnmental","Rural","6","4","1","1","1","9","1","1","1","9","1","1","9","1","9","9","0","1","1","1","1","1","1","1","1","9","1","1","1","9","1","9","1","9","9","A/SA","No","high/moderate"
"92","Female","Governnmental","Rural","6","3","9","0","9","0","0","0","9","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","9","9","1","1","9","0","9","1","1","1","1","N","No","low"
"93","Female","Governnmental","Urban","6","5","1","1","1","1","0","0","9","0","9","9","9","1","1","9","9","1","9","1","9","9","1","1","9","9","1","1","9","0","1","1","1","1","1","A/SA","No","low"
"94","Female","Governnmental","Urban","6","3","9","9","9","9","0","0","1","9","1","1","1","1","0","0","0","1","9","9","1","0","1","1","9","9","1","1","0","0","0","9","0","0","0","N","No","low"
"95","Female","Governnmental","Urban","6","3","9","1","0","1","0","1","0","1","1","1","1","0","0","9","0","0","1","1","1","9","1","1","0","9","1","1","1","9","9","1","1","1","9","N","No","high/moderate"
"96","Female","Governnmental","Rural","6","4","1","1","9","0","1","1","0","1","9","1","1","1","9","1","1","9","1","1","1","1","1","1","1","9","1","0","0","1","0","0","1","9","1","A/SA","No","low"
"97","Female","Governnmental","Rural","6","2","0","9","9","0","0","0","9","9","1","1","1","1","1","0","0","1","0","1","9","1","1","1","1","9","1","1","9","1","1","9","0","0","1","D/SD","No","low"
