"","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers.","X7.I.have.an.understanding.of.the.basic.computational.principles.of.artificial.intelligence..AI.","X8.I.am.comfortable.with.the.nomenclature.related.to.artificial.intelligence","X9.I.have.an.understanding.of.the.limitations.of.artificial.intelligence","X10.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Were.you.already.aware.of.these.topics.in.radiology..","X11.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Do.you.personally.have.a.basic.understanding.of.the.technologies.used.in.these.topics..","X13.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.is.a.class.of.machine.learning.algorithms.that.use.multiple.layers.of.neural.networks..","X14.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.methods.learn.directly.from.data..without.the.need.for.manual.feature.extraction..","X15.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Application.of.deep.learning.in.radiology.requires.large.databases.of.labeled.medical.images..","X16.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.systems.are.often.opaque..it.can.be.difficult.to.delineate.the.underlying..thought.process...","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","X27.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.radiology.","X28.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.medicine.in.general.","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","X30.Which.of.these.specialties.do.you.think.will.be.impacted.the.earliest.and.most.","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","X36.Would.you.consider.using.the.following.clinical.workflow..Patients..clinical.images.undergo.artificial.intelligence.analysis..A.specialist.subsequently.reviews.both.the.image.and.the.artificial.intelligence.findings.","X37.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.detection.of.pathologies.in.imaging.exams.","X38.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.diagnosis.in.imaging.exams.","X39.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.indication.of.appropriate.imaging.exams."
"41","A/SA","N","N","A/SA","No","No","TRUE","FALSE","I don't know","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","A/SA","N","N","A/SA","A/SA","A/SA","I don't know","N","N","D/SD","D/SD","D/SD","Yes","A/SA","N","A/SA"
"42","A/SA","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","D/SD","A/SA","A/SA","N","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"43","D/SD","N","D/SD","A/SA","Yes","No","TRUE","FALSE","FALSE","FALSE","N","A/SA","N","D/SD","A/SA","D/SD","N","N","N","N","N","N","N","I don't know","N","N","A/SA","A/SA","A/SA","Yes","N","N","N"
"44","A/SA","D/SD","A/SA","D/SD","No","No","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","N","N","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","N","Unsure","D/SD","D/SD","A/SA"
"45","A/SA","D/SD","D/SD","N","Yes","No","TRUE","I don't know","TRUE","I don't know","A/SA","A/SA","A/SA","N","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","D/SD","D/SD","N","Yes","A/SA","A/SA","A/SA"
"46","D/SD","N","N","A/SA","No","No","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","N","Yes","N","N","N"
"47","A/SA","N","N","D/SD","No","Yes","TRUE","TRUE","TRUE","FALSE","A/SA","A/SA","N","D/SD","D/SD","A/SA","N","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","N","A/SA"
"48","N","A/SA","A/SA","N","Yes","No","I don't know","I don't know","TRUE","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","D/SD","D/SD","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","N","A/SA","A/SA"
"49","A/SA","A/SA","A/SA","A/SA","No","No","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","A/SA","A/SA","D/SD","I don't know","N","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"50","A/SA","A/SA","A/SA","A/SA","Yes","Yes","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","A/SA","A/SA","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"51","A/SA","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","A/SA","A/SA","N","N","N","Yes","A/SA","N","A/SA"
"52","N","A/SA","A/SA","D/SD","No","No","FALSE","I don't know","I don't know","FALSE","A/SA","A/SA","A/SA","A/SA","N","D/SD","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","N","A/SA","Yes","A/SA","A/SA","A/SA"
"53","A/SA","A/SA","N","A/SA","No","No","TRUE","TRUE","I don't know","FALSE","N","A/SA","N","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","N","N","A/SA","N","I don't know","N","N","N","D/SD","D/SD","Yes","A/SA","A/SA","N"
"54","D/SD","D/SD","D/SD","D/SD","Yes","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","N","N","N","N","N","A/SA","N","N","A/SA","A/SA","N","I don't know","D/SD","D/SD","D/SD","D/SD","D/SD","Unsure","N","N","N"
"55","N","N","N","A/SA","Yes","Yes","TRUE","FALSE","TRUE","FALSE","A/SA","A/SA","A/SA","A/SA","A/SA","N","D/SD","D/SD","A/SA","N","A/SA","N","A/SA","I don't know","N","N","D/SD","A/SA","D/SD","Yes","A/SA","N","D/SD"
"56","N","N","N","D/SD","Yes","No","TRUE","FALSE","TRUE","I don't know","A/SA","A/SA","A/SA","N","N","D/SD","N","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","I don't know","N","N","N","N","N","Yes","N","N","N"
"57","D/SD","D/SD","N","D/SD","No","No","I don't know","I don't know","TRUE","I don't know","N","N","N","N","N","A/SA","A/SA","A/SA","N","N","N","N","N","I don't know","N","N","N","N","N","Unsure","N","N","N"
"58","A/SA","A/SA","A/SA","A/SA","No","Yes","TRUE","TRUE","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","A/SA","D/SD","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","N"
"59","A/SA","N","N","A/SA","Yes","Yes","TRUE","TRUE","I don't know","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","D/SD","I don't know","A/SA","N","N","N","N","Yes","A/SA","A/SA","A/SA"
"60","A/SA","A/SA","A/SA","N","Yes","No","I don't know","TRUE","TRUE","TRUE","A/SA","A/SA","N","D/SD","D/SD","A/SA","D/SD","N","D/SD","A/SA","A/SA","A/SA","N","I don't know","N","N","A/SA","N","A/SA","Yes","A/SA","A/SA","A/SA"
"61","A/SA","A/SA","A/SA","A/SA","No","Yes","TRUE","FALSE","TRUE","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","N","A/SA","N","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","N","A/SA"
"62","D/SD","N","D/SD","N","Yes","Yes","TRUE","FALSE","TRUE","FALSE","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","N","A/SA","No","A/SA","A/SA","A/SA"
"63","A/SA","A/SA","A/SA","A/SA","Yes","Yes","TRUE","FALSE","TRUE","FALSE","A/SA","D/SD","D/SD","N","D/SD","D/SD","N","D/SD","N","D/SD","N","A/SA","N","I don't know","D/SD","N","A/SA","D/SD","A/SA","Yes","A/SA","N","D/SD"
"64","A/SA","A/SA","A/SA","A/SA","Yes","Yes","TRUE","TRUE","TRUE","FALSE","A/SA","A/SA","D/SD","D/SD","D/SD","D/SD","A/SA","A/SA","A/SA","A/SA","A/SA","A/SA","N","I don't know","A/SA","A/SA","A/SA","A/SA","A/SA","Yes","A/SA","A/SA","A/SA"
"65","N","N","N","N","Yes","Yes","TRUE","FALSE","TRUE","TRUE","A/SA","A/SA","D/SD","D/SD","D/SD","N","N","N","N","N","N","N","N","I don't know","N","N","N","N","N","Unsure","N","N","N"
"66","N","D/SD","D/SD","D/SD","No","No","I don't know","I don't know","I don't know","I don't know","N","A/SA","D/SD","D/SD","D/SD","N","A/SA","A/SA","N","A/SA","A/SA","A/SA","A/SA","I don't know","N","N","N","N","N","Yes","A/SA","A/SA","A/SA"
"67","N","D/SD","N","N","Yes","No","TRUE","TRUE","TRUE","TRUE","A/SA","A/SA","N","D/SD","D/SD","N","A/SA","A/SA","A/SA","N","A/SA","A/SA","D/SD","I don't know","A/SA","A/SA","D/SD","D/SD","D/SD","Unsure","A/SA","N","D/SD"
"68","A/SA","D/SD","D/SD","N","No","No","I don't know","I don't know","I don't know","I don't know","A/SA","A/SA","A/SA","A/SA","D/SD","A/SA","N","N","N","A/SA","N","A/SA","A/SA","I don't know","D/SD","N","A/SA","N","A/SA","Unsure","A/SA","A/SA","A/SA"
