"","gender","university","living_zone","grade_merged","knowledge_merged","tech_merged","ai_training"
"39","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"40","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"41","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"42","Male","Governnmental","Rural","Academic years","low","A/SA","No"
"43","Female","Governnmental","Urban","Academic years","low","D/SD","Yes"
"44","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"45","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"46","Female","Governnmental","Urban","Academic years","high/moderate","D/SD","No"
"47","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"48","Male","Governnmental","Rural","Clinical Years","low","N","No"
"49","Male","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"50","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"51","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"52","Male","Governnmental","Urban","Academic years","low","N","No"
"53","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"54","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"55","Female","Governnmental","Urban","Academic years","high/moderate","N","No"
"56","Male","Governnmental","Urban","Academic years","low","N","No"
"57","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"58","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"59","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"60","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"61","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"62","Male","Governnmental","Rural","Academic years","low","D/SD","Yes"
"63","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"64","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"65","Female","Governnmental","Urban","Academic years","high/moderate","N","Yes"
"66","Female","Governnmental","Urban","Academic years","low","N","No"
"67","Male","Governnmental","Urban","Academic years","high/moderate","N","No"
"68","Male","Private","Urban","Academic years","low","A/SA","No"
"69","Female","Governnmental","Urban","Academic years","low","N","No"
"70","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"71","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"72","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"73","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"74","Male","Governnmental","Urban","Academic years","low","N","No"
"75","Male","Governnmental","Urban","Academic years","high/moderate","N","No"
"76","Female","Governnmental","Urban","Clinical Years","low","N","No"
"77","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"78","Male","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"79","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"80","Female","Private","Urban","Clinical Years","low","A/SA","No"
"81","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"82","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"83","Male","Private","Urban","Academic years","low","A/SA","No"
"84","Female","Private","Urban","Academic years","high/moderate","A/SA","Yes"
"85","Female","Private","Rural","Academic years","high/moderate","A/SA","Yes"
"86","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","Yes"
"87","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"88","Female","Governnmental","Rural","Clinical Years","low","D/SD","Yes"
"89","Female","Governnmental","Rural","Clinical Years","low","N","No"
"90","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"91","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"92","Female","Governnmental","Rural","Clinical Years","low","N","No"
"93","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"94","Female","Governnmental","Urban","Clinical Years","low","N","No"
"95","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"96","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"97","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"98","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"99","Female","Governnmental","Urban","Clinical Years","low","N","No"
"100","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"101","Female","Governnmental","Rural","Clinical Years","low","N","No"
"102","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"103","Female","Governnmental","Urban","Clinical Years","low","N","No"
"104","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"105","Female","Governnmental","Rural","Clinical Years","low","A/SA","No"
"106","Female","Governnmental","Rural","Clinical Years","low","N","No"
"107","Male","Governnmental","Rural","Academic years","low","A/SA","Yes"
"108","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"109","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"110","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"111","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"112","Female","Governnmental","Urban","Clinical Years","high/moderate","D/SD","No"
"113","Male","Governnmental","Urban","Clinical Years","low","N","No"
"114","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"115","Male","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"116","Male","Governnmental","Urban","Clinical Years","low","N","No"
"117","Female","International","Urban","Clinical Years","low","A/SA","No"
"118","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"119","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"120","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"121","Female","Governnmental","Urban","Clinical Years","low","N","No"
"122","Male","Governnmental","Urban","Clinical Years","low","N","No"
"123","Male","Governnmental","Urban","Clinical Years","low","N","No"
"124","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"125","Male","International","Rural","Clinical Years","low","N","No"
"126","Male","Governnmental","Urban","Clinical Years","low","N","No"
"127","Male","Governnmental","Urban","Clinical Years","low","N","Yes"
"128","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"129","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"130","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"131","Female","Governnmental","Urban","Clinical Years","low","N","No"
"132","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"133","Male","Governnmental","Urban","Clinical Years","low","N","No"
"134","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"135","Male","Governnmental","Urban","Clinical Years","low","N","Yes"
"136","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"137","Male","Governnmental","Urban","Clinical Years","low","N","No"
"138","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"139","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"140","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"141","Male","Private","Urban","Clinical Years","high/moderate","A/SA","No"
"142","Male","Private","Urban","Academic years","high/moderate","A/SA","Yes"
"143","Female","Governnmental","Urban","Clinical Years","low","N","No"
"144","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"145","Male","Governnmental","Urban","Clinical Years","low","N","No"
"146","Female","International","Urban","Clinical Years","low","A/SA","No"
"147","Male","Governnmental","Urban","Clinical Years","low","N","No"
"148","Female","Governnmental","Urban","Clinical Years","low","N","No"
"149","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"150","Female","Private","Urban","Clinical Years","low","N","No"
"151","Male","Governnmental","Urban","Clinical Years","low","N","No"
"152","Male","Private","Urban","Clinical Years","low","A/SA","No"
"153","Female","Private","Urban","Academic years","low","N","No"
"154","Male","Private","Urban","Academic years","high/moderate","A/SA","Yes"
"155","Female","Private","Urban","Academic years","high/moderate","N","No"
"156","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"157","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"158","Female","International","Rural","Clinical Years","high/moderate","A/SA","No"
"159","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"160","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"161","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"162","Male","Governnmental","Urban","Academic years","high/moderate","D/SD","No"
"163","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"164","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"165","Female","Governnmental","Urban","Clinical Years","low","N","No"
"166","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"167","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"168","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"169","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"170","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"171","Female","Private","Rural","Clinical Years","high/moderate","A/SA","No"
"172","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"173","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"174","Female","Governnmental","Urban","Academic years","high/moderate","N","No"
"175","Female","Governnmental","Urban","Academic years","low","N","No"
"176","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"177","Female","Governnmental","Urban","Academic years","low","N","No"
"178","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"179","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"180","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"181","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"182","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"183","Female","International","Urban","Academic years","low","A/SA","Yes"
"184","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"185","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"186","Female","Governnmental","Urban","Academic years","low","N","No"
"187","Female","Governnmental","Urban","Academic years","low","N","No"
"188","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"189","Female","Governnmental","Urban","Academic years","low","N","No"
"190","Male","Governnmental","Urban","Academic years","low","N","No"
"191","Female","Governnmental","Urban","Clinical Years","low","N","No"
"192","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"193","Female","Governnmental","Urban","Clinical Years","low","N","No"
"194","Female","Governnmental","Urban","Clinical Years","low","N","No"
"195","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"196","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"197","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"198","Female","Governnmental","Urban","Clinical Years","low","N","No"
"199","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"200","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"201","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"202","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"203","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"204","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"205","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"206","Female","Governnmental","Urban","Clinical Years","low","N","No"
"207","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"208","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"209","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"210","Male","Governnmental","Urban","Academic years","low","N","No"
"211","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"212","Male","Governnmental","Rural","Academic years","low","A/SA","No"
"213","Male","Private","Urban","Academic years","high/moderate","A/SA","No"
"214","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"215","Female","Governnmental","Urban","Academic years","low","N","No"
"216","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"217","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"218","Male","Governnmental","Rural","Academic years","high/moderate","N","No"
"219","Male","Private","Rural","Academic years","low","A/SA","No"
"220","Female","Private","Urban","Academic years","low","D/SD","No"
"221","Female","Private","Urban","Academic years","low","N","No"
"222","Male","Private","Urban","Academic years","low","A/SA","No"
"223","Female","Private","Urban","Academic years","low","N","No"
"224","Male","Private","Urban","Academic years","low","A/SA","No"
"225","Male","Private","Urban","Academic years","low","A/SA","No"
"226","Male","International","Urban","Academic years","low","N","No"
"227","Female","Governnmental","Urban","Academic years","low","N","No"
"228","Female","Governnmental","Rural","Academic years","high/moderate","D/SD","No"
"229","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"230","Male","Governnmental","Urban","Academic years","low","N","No"
"231","Male","Governnmental","Urban","Academic years","low","A/SA","Yes"
"232","Female","Governnmental","Urban","Academic years","low","N","No"
"233","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"234","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"235","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"236","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"237","Male","Governnmental","Urban","Academic years","low","A/SA","Yes"
"238","Female","Private","Urban","Academic years","low","A/SA","No"
"239","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"240","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"241","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"242","Female","Governnmental","Rural","Academic years","low","N","Yes"
"243","Female","Governnmental","Urban","Academic years","high/moderate","N","Yes"
"244","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"245","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"246","Female","Governnmental","Rural","Academic years","high/moderate","N","No"
"247","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"248","Female","Private","Urban","Academic years","high/moderate","A/SA","No"
"249","Female","Private","Urban","Academic years","high/moderate","A/SA","No"
"250","Female","Private","Urban","Academic years","low","N","No"
"251","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"252","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"253","Female","Governnmental","Urban","Academic years","low","N","No"
"254","Male","Governnmental","Urban","Academic years","low","N","No"
"255","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"256","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"257","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"258","Female","Governnmental","Urban","Clinical Years","low","N","No"
"259","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"260","Female","Governnmental","Urban","Clinical Years","low","N","Yes"
"261","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"262","Male","Governnmental","Rural","Clinical Years","low","N","Yes"
"263","Female","Governnmental","Urban","Clinical Years","low","A/SA","Yes"
"264","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"265","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"266","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"267","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"268","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"269","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"270","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"271","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"272","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"273","Female","Governnmental","Urban","Clinical Years","low","N","No"
"274","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"275","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"276","Female","Governnmental","Urban","Clinical Years","low","N","No"
"277","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"278","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"279","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"280","Female","Governnmental","Urban","Clinical Years","low","N","No"
"281","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"282","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"283","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"284","Male","Governnmental","Urban","Clinical Years","low","D/SD","Yes"
"285","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"286","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"287","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"288","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"289","Male","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"290","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"291","Male","Governnmental","Urban","Clinical Years","low","N","No"
"292","Female","Private","Urban","Clinical Years","low","A/SA","No"
"293","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"294","Female","Private","Urban","Clinical Years","low","A/SA","No"
"295","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"296","Male","Governnmental","Rural","Clinical Years","high/moderate","A/SA","Yes"
"297","Male","Governnmental","Urban","Clinical Years","low","N","No"
"298","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"299","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"300","Female","Governnmental","Urban","Clinical Years","low","N","No"
"301","Male","Private","Urban","Clinical Years","low","A/SA","No"
"302","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"303","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"304","Female","Private","Urban","Clinical Years","high/moderate","N","No"
"305","Female","Private","Urban","Clinical Years","low","A/SA","No"
"306","Male","Governnmental","Urban","Clinical Years","low","N","No"
"307","Male","Governnmental","Urban","Clinical Years","low","N","No"
"308","Female","Governnmental","Rural","Clinical Years","low","D/SD","No"
"309","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"310","Female","Governnmental","Urban","Clinical Years","low","N","No"
"311","Female","Governnmental","Urban","Clinical Years","low","N","No"
"312","Female","Governnmental","Urban","Clinical Years","low","N","No"
"313","Female","Governnmental","Urban","Academic years","low","N","No"
"314","Male","Governnmental","Rural","Academic years","high/moderate","A/SA","No"
"315","Male","Governnmental","Urban","Academic years","low","A/SA","Yes"
"316","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"317","Female","Governnmental","Rural","Clinical Years","low","N","No"
"318","Female","Governnmental","Urban","Clinical Years","low","N","No"
"319","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"320","Female","Governnmental","Urban","Clinical Years","low","N","No"
"321","Female","Private","Urban","Academic years","low","D/SD","No"
"322","Female","Governnmental","Rural","Academic years","high/moderate","A/SA","No"
"323","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"324","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"325","Female","Private","Urban","Academic years","low","A/SA","No"
"326","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"327","Female","Governnmental","Rural","Academic years","low","D/SD","No"
"328","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","No"
"329","Female","Governnmental","Urban","Academic years","low","N","Yes"
"330","Female","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"331","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"332","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"333","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","No"
"334","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"335","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"336","Female","Governnmental","Urban","Academic years","low","N","No"
"337","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"338","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"339","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"340","Female","Governnmental","Rural","Clinical Years","high/moderate","A/SA","Yes"
"341","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"342","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"343","Male","Governnmental","Urban","Clinical Years","low","N","No"
"344","Male","International","Urban","Clinical Years","high/moderate","A/SA","No"
"345","Female","Governnmental","Urban","Academic years","low","A/SA","No"
"346","Male","Governnmental","Rural","Academic years","high/moderate","N","Yes"
"347","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"348","Female","Governnmental","Urban","Academic years","low","N","No"
"349","Male","Governnmental","Urban","Academic years","low","A/SA","No"
"350","Male","Governnmental","Rural","Academic years","low","D/SD","No"
"351","Male","Governnmental","Urban","Academic years","high/moderate","N","No"
"352","Female","Governnmental","Rural","Academic years","low","N","No"
"353","Female","Governnmental","Urban","Academic years","low","N","No"
"354","Male","Governnmental","Rural","Academic years","high/moderate","N","No"
"355","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"356","Male","Governnmental","Urban","Academic years","low","N","No"
"357","Female","Governnmental","Urban","Clinical Years","low","N","No"
"358","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"359","Female","Governnmental","Urban","Clinical Years","low","N","No"
"360","Male","Governnmental","Urban","Clinical Years","high/moderate","N","No"
"361","Male","Governnmental","Rural","Academic years","high/moderate","A/SA","No"
"362","Male","Governnmental","Urban","Clinical Years","low","N","No"
"363","Male","Governnmental","Urban","Clinical Years","low","A/SA","Yes"
"364","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"365","Male","Governnmental","Urban","Clinical Years","low","N","No"
"366","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"367","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"368","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"369","Female","Governnmental","Rural","Clinical Years","low","N","Yes"
"370","Male","Governnmental","Urban","Clinical Years","high/moderate","D/SD","No"
"371","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"372","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"373","Female","Governnmental","Urban","Clinical Years","low","N","No"
"374","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"375","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"376","Female","Governnmental","Urban","Clinical Years","low","N","No"
"377","Male","Governnmental","Urban","Clinical Years","low","N","No"
"378","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"379","Male","Governnmental","Urban","Clinical Years","low","N","No"
"380","Male","Governnmental","Rural","Clinical Years","low","A/SA","No"
"381","Female","Governnmental","Urban","Clinical Years","low","N","No"
"382","Female","Governnmental","Urban","Academic years","high/moderate","N","No"
"383","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"384","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"385","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"386","Female","Governnmental","Urban","Clinical Years","high/moderate","D/SD","Yes"
"387","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"388","Male","Governnmental","Urban","Clinical Years","low","N","No"
"389","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"390","Male","Governnmental","Urban","Clinical Years","low","N","No"
"391","Female","Governnmental","Urban","Clinical Years","low","D/SD","No"
"392","Female","Governnmental","Urban","Clinical Years","low","N","No"
"393","Female","Governnmental","Urban","Clinical Years","low","N","No"
"394","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"395","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"396","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"397","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"398","Male","Governnmental","Urban","Clinical Years","low","D/SD","No"
"399","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"400","Female","Governnmental","Urban","Clinical Years","low","N","No"
"401","Female","Governnmental","Urban","Clinical Years","low","A/SA","No"
"402","Female","Private","Urban","Academic years","high/moderate","A/SA","Yes"
"403","Male","International","Urban","Clinical Years","low","N","No"
"404","Male","Governnmental","Urban","Clinical Years","high/moderate","A/SA","Yes"
"405","Male","Private","Urban","Clinical Years","high/moderate","A/SA","No"
"406","Female","International","Urban","Academic years","low","A/SA","No"
"407","Male","Private","Urban","Academic years","low","A/SA","No"
"408","Male","Private","Urban","Academic years","low","N","No"
"409","Male","Private","Urban","Academic years","high/moderate","A/SA","No"
"410","Female","Private","Urban","Academic years","low","D/SD","No"
"411","Male","Governnmental","Urban","Clinical Years","low","A/SA","No"
"412","Female","International","Urban","Academic years","low","A/SA","No"
"413","Male","Private","Rural","Academic years","low","A/SA","No"
"414","Male","Private","Urban","Academic years","low","A/SA","No"
"415","Male","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"416","Male","Private","Urban","Academic years","low","N","No"
"417","Female","Governnmental","Urban","Academic years","low","D/SD","No"
"418","Female","Private","Urban","Academic years","low","N","No"
"419","Female","Private","Urban","Academic years","low","A/SA","Yes"
"420","Male","Governnmental","Rural","Academic years","low","N","No"
"421","Male","Governnmental","Urban","Academic years","low","N","No"
"422","Female","Private","Rural","Academic years","low","A/SA","No"
"423","Female","Governnmental","Rural","Academic years","low","A/SA","No"
"424","Male","Governnmental","Urban","Academic years","low","D/SD","No"
"425","Female","Private","Rural","Academic years","high/moderate","A/SA","Yes"
"426","Male","Private","Urban","Clinical Years","low","A/SA","No"
"427","Male","International","Rural","Clinical Years","low","N","Yes"
"428","Female","Governnmental","Urban","Clinical Years","low","N","No"
"429","Female","Governnmental","Urban","Clinical Years","high/moderate","A/SA","No"
"430","Female","Governnmental","Urban","Academic years","high/moderate","A/SA","Yes"
"431","Male","Governnmental","Rural","Academic years","low","D/SD","No"
