"","X6.I.consider.myself.a.tech.savvy..well.informed.about.or.proficient.in.the.use.of.modern.technology..especially.computers.","X7.I.have.an.understanding.of.the.basic.computational.principles.of.artificial.intelligence..AI.","X8.I.am.comfortable.with.the.nomenclature.related.to.artificial.intelligence","X9.I.have.an.understanding.of.the.limitations.of.artificial.intelligence","X10.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Were.you.already.aware.of.these.topics.in.radiology..","X11.Deep.Learning..and..Artificial.Intelligence..are.currently.being.broadly.discussed.in.the.radiological.community...Do.you.personally.have.a.basic.understanding.of.the.technologies.used.in.these.topics..","X13.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.is.a.class.of.machine.learning.algorithms.that.use.multiple.layers.of.neural.networks..","X14.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.methods.learn.directly.from.data..without.the.need.for.manual.feature.extraction..","X15.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Application.of.deep.learning.in.radiology.requires.large.databases.of.labeled.medical.images..","X16.The.following.questions.test.your.understanding.of.deep.learning..a.subtype.of.artificial.intelligence....Deep.learning.systems.are.often.opaque..it.can.be.difficult.to.delineate.the.underlying..thought.process...","X17.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.radiology.","X18.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.revolutionize.medicine.in.general.","X19.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human.radiologist.will.be.replaced.in.the.foreseeable.future.","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","X27.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.radiology.","X28.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.medicine.in.general.","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","X30.Which.of.these.specialties.do.you.think.will.be.impacted.the.earliest.and.most.","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","X36.Would.you.consider.using.the.following.clinical.workflow..Patients..clinical.images.undergo.artificial.intelligence.analysis..A.specialist.subsequently.reviews.both.the.image.and.the.artificial.intelligence.findings.","X37.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.detection.of.pathologies.in.imaging.exams.","X38.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.diagnosis.in.imaging.exams.","X39.What.potential.applications.for.AI.in.radiology.do.you.see...Automated.indication.of.appropriate.imaging.exams."
"31","1","9","9","9","0","0","9","9","9","9","1","1","1","9","9","9","1","1","1","1","1","1","1","9","1","1","1","9","9","1","1","1","1"
"32","1","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","9","9","9","9","1","1","1","9","1","0","9","9","1","9","9","9","9"
"33","0","1","0","1","1","1","9","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","9","1","1","1","1","1","1","1","1","1"
"34","1","0","0","0","0","0","1","9","1","9","1","1","9","0","0","0","1","1","1","9","1","1","0","9","9","9","9","9","9","1","9","9","9"
"35","1","9","9","1","1","0","9","9","1","9","9","9","1","1","1","9","9","9","1","1","1","9","9","9","9","1","1","1","9","9","9","9","1"
"36","1","1","1","1","0","1","1","1","1","0","1","1","0","0","0","0","1","9","1","9","1","1","9","9","9","9","1","1","1","1","1","1","9"
"37","1","1","9","1","0","0","1","1","1","1","1","1","9","1","0","1","1","1","0","1","1","1","9","9","1","1","1","1","9","9","1","1","1"
"38","1","9","1","1","1","0","9","1","1","0","1","1","9","9","1","1","0","9","0","0","1","1","0","9","1","1","1","1","1","1","1","1","9"
"39","1","1","1","9","1","0","1","0","1","1","1","1","0","0","0","0","9","1","0","0","1","1","9","9","1","1","0","0","0","1","1","1","1"
"40","1","0","0","9","0","0","1","9","9","9","9","9","1","9","9","0","9","9","9","1","0","9","1","9","1","9","1","9","9","9","1","1","9"
"41","1","9","9","1","0","0","1","0","9","1","1","1","0","0","0","9","9","1","9","9","1","1","1","9","9","9","0","0","0","1","1","9","1"
"42","1","0","0","0","0","0","9","9","9","9","1","1","9","9","9","0","1","1","9","1","1","1","9","9","1","1","1","1","1","1","1","1","1"
"43","0","9","0","1","1","0","1","0","0","0","9","1","9","0","1","0","9","9","9","9","9","9","9","9","9","9","1","1","1","1","9","9","9"
"44","1","0","1","0","0","0","1","0","1","9","1","1","0","0","0","1","9","9","1","1","1","1","9","9","1","1","1","1","9","9","0","0","1"
"45","1","0","0","9","1","0","1","9","1","9","1","1","1","9","0","1","1","1","1","1","1","1","1","9","1","1","0","0","9","1","1","1","1"
"46","0","9","9","1","0","0","1","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","0","9","1","1","1","1","9","1","9","9","9"
"47","1","9","9","0","0","1","1","1","1","0","1","1","9","0","0","1","9","1","1","1","1","1","9","9","1","1","9","9","9","1","1","9","1"
"48","9","1","1","9","1","0","9","9","1","9","1","1","0","0","0","0","1","1","0","0","1","1","9","9","1","1","1","1","1","1","9","1","1"
"49","1","1","1","1","0","0","1","1","1","1","1","1","0","0","0","0","1","1","1","9","1","1","0","9","9","1","1","1","1","1","1","1","1"
"50","1","1","1","1","1","1","1","0","1","9","1","1","1","1","0","0","1","1","1","1","1","1","0","9","1","1","1","1","1","1","1","1","1"
"51","1","0","0","0","0","0","9","9","9","9","1","1","0","0","0","0","1","1","1","1","1","1","1","9","1","1","9","9","9","1","1","9","1"
"52","9","1","1","0","0","0","0","9","9","0","1","1","1","1","9","0","1","1","1","0","1","1","0","9","1","1","1","9","1","1","1","1","1"
"53","1","1","9","1","0","0","1","1","9","0","9","1","9","0","0","0","1","1","1","9","9","1","9","9","9","9","9","0","0","1","1","1","9"
"54","0","0","0","0","1","0","9","9","9","9","1","1","9","9","9","9","9","1","9","9","1","1","9","9","0","0","0","0","0","9","9","9","9"
"55","9","9","9","1","1","1","1","0","1","0","1","1","1","1","1","9","0","0","1","9","1","9","1","9","9","9","0","1","0","1","1","9","0"
"56","9","9","9","0","1","0","1","0","1","9","1","1","1","9","9","0","9","1","1","1","1","1","1","9","9","9","9","9","9","1","9","9","9"
"57","0","0","9","0","0","0","9","9","1","9","9","9","9","9","9","1","1","1","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"58","1","1","1","1","0","1","1","1","9","9","1","1","1","1","1","0","1","1","0","1","1","1","0","9","1","1","1","1","1","1","1","1","9"
"59","1","9","9","1","1","1","1","1","9","9","1","1","0","0","0","0","1","1","1","1","1","1","0","9","1","9","9","9","9","1","1","1","1"
"60","1","1","1","9","1","0","9","1","1","1","1","1","9","0","0","1","0","9","0","1","1","1","9","9","9","9","1","9","1","1","1","1","1"
"61","1","1","1","1","0","1","1","0","1","0","1","1","0","0","0","0","9","1","9","1","1","1","9","9","1","1","1","1","1","1","1","9","1"
"62","0","9","0","9","1","1","1","0","1","0","1","1","1","1","1","1","1","1","9","1","1","1","9","9","1","1","1","9","1","0","1","1","1"
"63","1","1","1","1","1","1","1","0","1","0","1","0","0","9","0","0","9","0","9","0","9","1","9","9","0","9","1","0","1","1","1","9","0"
"64","1","1","1","1","1","1","1","1","1","0","1","1","0","0","0","0","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","1","1"
"65","9","9","9","9","1","1","1","0","1","1","1","1","0","0","0","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9"
"66","9","0","0","0","0","0","9","9","9","9","9","1","0","0","0","9","1","1","9","1","1","1","1","9","9","9","9","9","9","1","1","1","1"
"67","9","0","9","9","1","0","1","1","1","1","1","1","9","0","0","9","1","1","1","9","1","1","0","9","1","1","0","0","0","9","1","9","0"
"68","1","0","0","9","0","0","9","9","9","9","1","1","1","1","0","1","9","9","9","1","9","1","1","9","0","9","1","9","1","9","1","1","1"
"69","9","9","1","9","0","0","9","9","9","9","9","9","9","9","0","9","0","0","0","9","1","1","9","9","9","1","9","9","9","9","9","9","9"
"70","1","9","1","1","0","0","1","9","0","1","9","1","1","9","1","9","1","9","1","1","9","1","1","9","1","9","1","9","1","0","1","1","1"
"71","1","0","0","0","1","0","0","1","9","0","0","0","1","1","9","1","1","1","1","0","0","1","9","9","9","0","9","9","9","0","0","1","9"
"72","1","1","1","9","1","0","1","9","0","9","1","1","1","1","1","1","9","1","1","1","1","1","1","9","9","0","9","1","0","1","0","1","1"
"73","1","1","1","1","1","0","1","0","1","1","1","1","1","0","0","0","1","1","1","1","1","1","1","9","9","1","1","9","1","1","9","0","1"
"74","9","0","0","0","0","0","9","9","9","9","1","1","0","0","0","0","0","9","0","0","1","1","9","9","0","0","1","0","1","1","1","1","9"
"75","9","1","0","9","1","0","1","0","1","1","1","1","1","1","1","1","1","9","0","1","1","1","1","9","1","1","0","0","0","1","1","1","1"
"76","9","0","0","0","0","0","9","9","9","9","1","0","0","0","0","0","9","9","1","0","1","1","1","9","0","0","1","1","9","9","9","9","9"
"77","0","0","0","0","1","1","0","0","1","1","9","1","1","0","1","1","1","1","1","1","1","1","1","9","0","0","0","0","0","9","0","1","9"
"78","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","0","1","1","0","9","1","1","0","9","9","1","1","0","0","1","1","1","1"
"79","1","1","9","9","0","0","1","9","1","9","9","1","9","0","0","9","0","0","1","9","1","1","0","9","1","1","9","9","9","1","1","9","1"
"80","1","9","0","0","0","0","9","9","9","9","9","1","0","9","0","0","1","1","0","0","1","1","0","9","1","1","0","0","0","1","1","1","9"
"81","1","9","9","1","1","1","1","0","1","1","1","1","1","1","9","0","9","1","9","1","1","1","1","9","1","1","9","1","9","1","1","0","9"
"82","1","1","1","1","1","0","1","0","0","1","1","1","1","1","1","0","1","1","9","1","1","1","9","9","1","9","1","1","1","1","1","9","9"
"83","1","1","0","0","1","0","9","9","1","1","9","1","1","1","1","9","1","1","9","1","1","1","1","9","1","1","0","1","9","9","1","9","1"
"84","1","1","0","1","1","1","1","1","1","0","0","9","0","0","0","1","1","9","1","0","1","1","0","9","0","0","1","1","9","0","0","0","1"
"85","1","1","1","1","0","1","1","1","9","9","1","1","1","1","0","9","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","1","1"
"86","1","1","1","1","1","1","1","0","1","9","1","1","0","0","0","0","1","1","0","1","1","1","0","9","1","1","9","9","9","1","1","1","1"
"87","1","9","9","0","1","0","9","0","9","9","1","1","9","9","9","9","1","1","9","1","1","1","1","9","1","1","1","9","9","1","1","1","1"
"88","0","9","9","1","0","1","9","1","1","9","9","1","1","9","1","9","1","9","1","9","1","1","1","9","9","0","9","9","1","0","1","1","9"
"89","9","9","0","1","0","0","9","0","1","1","9","1","9","9","9","9","1","1","1","1","1","1","9","9","1","1","1","1","1","1","9","1","1"
"90","1","1","1","1","1","1","9","0","0","1","1","1","0","0","0","1","1","1","9","1","1","1","9","9","1","1","1","9","9","1","1","1","1"
"91","1","1","1","9","1","1","1","9","1","1","9","1","9","9","0","1","1","1","1","1","1","1","1","9","1","1","1","9","1","9","1","9","9"
"92","9","0","9","0","0","0","9","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","9","9","1","1","9","0","9","1","1","1","1"
"93","1","1","1","1","0","0","9","0","9","9","9","1","1","9","9","1","9","1","9","9","1","1","9","9","1","1","9","0","1","1","1","1","1"
"94","9","9","9","9","0","0","1","9","1","1","1","1","0","0","0","1","9","9","1","0","1","1","9","9","1","1","0","0","0","9","0","0","0"
"95","9","1","0","1","0","1","0","1","1","1","1","0","0","9","0","0","1","1","1","9","1","1","0","9","1","1","1","9","9","1","1","1","9"
"96","1","1","9","0","1","1","0","1","9","1","1","1","9","1","1","9","1","1","1","1","1","1","1","9","1","0","0","1","0","0","1","9","1"
"97","0","9","9","0","0","0","9","9","1","1","1","1","1","0","0","1","0","1","9","1","1","1","1","9","1","1","9","1","1","9","0","0","1"
"98","1","9","9","9","1","1","9","9","9","9","1","1","1","1","1","1","1","1","1","1","1","1","1","9","1","9","9","9","9","9","9","9","1"
"99","9","0","0","0","0","0","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","9","0","0","9","1","9","1","9","9","9"
"100","0","0","0","0","0","0","9","9","1","9","1","1","9","9","9","1","9","1","9","9","1","1","0","9","1","1","1","1","1","9","1","9","9"
"101","9","9","1","9","0","0","9","9","1","1","1","9","9","9","1","1","1","9","1","1","1","1","1","9","9","9","9","9","9","0","1","1","1"
"102","0","0","9","1","0","0","9","9","9","9","1","1","1","0","0","0","1","9","1","1","1","1","1","9","9","1","9","0","9","9","1","0","9"
"103","9","0","0","0","0","1","9","9","9","9","1","1","9","9","0","0","9","9","1","9","1","1","9","9","9","0","9","0","0","0","9","0","1"
"104","0","0","9","0","1","0","9","9","9","9","1","1","9","9","9","9","1","1","9","1","1","1","1","9","1","1","0","0","0","0","1","9","9"
"105","1","1","1","0","0","0","0","0","0","0","1","1","0","0","0","0","9","9","1","0","1","1","9","9","1","1","1","1","1","1","1","1","1"
"106","9","0","0","0","0","0","9","9","9","9","1","1","1","1","1","1","1","1","1","9","1","1","9","9","1","1","1","1","1","9","9","9","9"
"107","1","9","9","1","0","0","9","1","1","9","1","1","0","9","0","0","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","1","1"
"108","1","1","9","1","1","1","1","0","1","1","1","1","1","1","1","9","1","1","1","1","1","1","9","9","1","1","1","1","1","1","1","9","1"
"109","1","1","1","1","0","0","9","9","9","9","1","1","9","0","0","9","1","1","1","9","1","1","9","9","1","1","1","1","1","9","1","1","1"
"110","1","1","1","1","0","1","1","0","9","0","1","1","0","0","0","0","1","1","1","1","1","1","9","9","1","1","1","1","1","9","9","1","1"
"111","0","0","0","0","0","0","9","9","9","9","1","1","0","0","0","1","0","0","1","1","1","1","0","9","9","1","1","1","9","9","9","9","9"
"112","0","0","9","1","1","1","1","1","0","0","1","1","1","1","0","1","9","9","9","1","1","1","1","9","1","1","1","1","1","1","1","9","1"
"113","9","0","0","0","1","0","9","9","9","9","1","1","1","1","0","9","1","1","0","1","1","1","1","9","9","0","9","0","0","9","1","1","1"
"114","1","1","1","9","0","0","9","1","1","1","1","1","0","0","0","0","1","1","9","1","1","1","9","9","1","1","1","9","9","9","1","0","9"
"115","9","0","1","9","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","9","1","1","1","1","1","9","1","1","1"
"116","9","0","0","0","0","0","9","9","1","9","9","1","0","1","0","9","9","9","9","1","1","1","1","9","0","0","9","1","1","9","1","9","1"
"117","1","9","0","9","0","0","1","0","9","1","1","1","0","0","0","9","9","9","1","9","1","1","9","9","9","9","1","1","1","1","1","1","1"
"118","1","9","9","9","1","1","9","9","9","9","1","1","0","0","0","0","1","1","1","1","1","1","0","9","1","1","1","1","1","1","1","9","1"
"119","1","9","0","1","1","0","9","0","9","1","9","0","0","0","0","1","0","0","1","1","1","1","0","9","9","1","1","9","0","1","9","9","9"
"120","1","9","0","0","0","0","1","1","1","9","1","1","0","0","0","9","1","1","1","0","0","1","1","9","1","1","1","1","9","9","0","9","1"
"121","9","0","0","0","1","0","1","9","1","9","1","1","1","9","9","0","1","1","0","1","1","1","0","9","9","1","0","0","0","1","1","1","9"
"122","9","9","9","0","0","0","1","0","1","9","1","1","9","0","0","0","1","1","1","1","1","1","9","9","1","1","9","9","1","1","1","1","9"
"123","9","9","1","9","1","0","9","9","1","0","1","1","0","0","0","0","1","1","1","9","1","1","0","9","1","1","1","1","1","1","1","1","1"
"124","1","9","9","1","1","1","1","9","1","9","1","1","1","9","0","1","1","1","1","9","1","1","1","9","1","1","1","1","1","9","1","9","1"
"125","9","9","1","0","0","0","0","1","1","9","1","1","1","9","0","0","9","0","0","1","0","0","9","9","9","9","1","1","1","0","0","0","1"
"126","9","9","9","9","1","0","1","1","9","9","1","1","0","9","0","9","9","1","9","1","1","0","9","9","9","1","9","9","1","9","1","9","9"
"127","9","0","0","0","0","0","9","9","9","9","1","1","0","0","0","9","1","1","1","1","1","1","1","9","9","1","9","1","1","1","1","1","1"
"128","1","1","9","9","1","0","9","9","1","0","9","1","1","1","9","1","1","9","1","1","9","1","1","9","1","9","1","9","9","9","1","9","1"
"129","1","9","1","9","1","1","1","0","1","0","1","1","1","1","9","1","1","1","1","1","9","1","1","9","9","9","9","9","0","1","1","1","1"
"130","0","0","0","0","1","0","9","9","9","9","1","1","0","0","0","0","1","1","0","1","1","1","1","9","1","1","9","9","9","1","1","1","0"
"131","9","9","9","9","1","0","1","9","9","9","1","9","0","0","0","0","1","9","0","0","1","1","1","9","1","1","1","9","9","9","1","1","9"
"132","0","0","9","0","0","0","9","9","9","9","1","1","9","9","9","9","9","9","1","9","1","1","9","9","9","9","0","0","0","9","1","9","9"
"133","9","0","0","9","1","0","1","9","1","0","1","1","0","0","0","0","1","1","0","1","1","1","0","9","1","1","9","9","0","1","9","9","9"
"134","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","0","1","1","1","0","9","1","1","1","1","1","9","1","1","1"
"135","9","0","9","9","0","0","1","1","9","9","1","1","1","1","1","1","1","1","1","1","1","1","1","9","9","1","9","9","9","9","1","1","1"
"136","9","1","1","1","1","0","1","1","1","1","1","1","0","0","0","1","9","1","0","1","1","1","0","9","1","9","1","1","1","1","1","1","1"
"137","9","9","0","9","0","1","9","9","9","9","1","1","0","0","0","0","1","1","9","0","1","1","1","9","1","1","0","0","9","0","1","1","9"
"138","1","0","0","0","0","0","9","1","1","9","1","1","0","0","0","0","1","1","1","9","9","9","1","9","9","0","9","9","9","1","1","1","1"
