"","label","levels","Algeria","Egypt","Iraq","Jordan","Libya","Palestine","Sudan","Syria","Yemen","Total","p"
"12","","Disagree","190 (43.5)","185 (32.9)","135 (25.3)","141 (27.8)","224 (30.7)","121 (31.2)","130 (27.4)","173 (36.4)","117 (30.5)","1416 (31.5)",""
"13","","Neutral","129 (29.5)","194 (34.5)","221 (41.5)","195 (38.4)","261 (35.8)","151 (38.9)","186 (39.2)","136 (28.6)","120 (31.2)","1593 (35.5)",""
"14","","Strongly agree","18 (4.1)","47 (8.3)","50 (9.4)","37 (7.3)","64 (8.8)","28 (7.2)","43 (9.1)","49 (10.3)","36 (9.4)","372 (8.3)",""
"15","","Strongly disagree","62 (14.2)","41 (7.3)","47 (8.8)","53 (10.4)","60 (8.2)","25 (6.4)","17 (3.6)","36 (7.6)","36 (9.4)","377 (8.4)",""
"16","X20.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.human..non.interventional..physician.will.be.replaced.in.the.foreseeable.future.","Agree","32 (7.3)","52 (9.2)","44 (8.3)","43 (8.5)","51 (7.0)","45 (11.6)","57 (12.0)","40 (8.4)","35 (9.1)","399 (8.9)","<0.001"
"17","","Disagree","202 (46.2)","235 (41.7)","200 (37.5)","184 (36.2)","325 (44.5)","160 (41.2)","191 (40.3)","202 (42.5)","142 (37.0)","1841 (41.0)",""
"18","","Neutral","108 (24.7)","126 (22.4)","132 (24.8)","134 (26.4)","190 (26.0)","106 (27.3)","137 (28.9)","107 (22.5)","87 (22.7)","1127 (25.1)",""
"19","","Strongly agree","14 (3.2)","28 (5.0)","40 (7.5)","28 (5.5)","41 (5.6)","12 (3.1)","27 (5.7)","32 (6.7)","24 (6.2)","246 (5.5)",""
"20","","Strongly disagree","81 (18.5)","122 (21.7)","117 (22.0)","119 (23.4)","123 (16.8)","65 (16.8)","62 (13.1)","94 (19.8)","96 (25.0)","879 (19.6)",""
"21","X21.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...In.the.foreseeable.future..all.physicians.will.be.replaced.","Agree","14 (3.2)","33 (5.9)","30 (5.6)","27 (5.3)","49 (6.7)","31 (8.0)","35 (7.4)","32 (6.7)","25 (6.5)","276 (6.1)","<0.001"
"22","","Disagree","210 (48.1)","238 (42.3)","163 (30.6)","185 (36.4)","315 (43.2)","168 (43.3)","201 (42.4)","213 (44.8)","135 (35.2)","1828 (40.7)",""
"23","","Neutral","51 (11.7)","87 (15.5)","83 (15.6)","82 (16.1)","132 (18.1)","60 (15.5)","116 (24.5)","59 (12.4)","59 (15.4)","729 (16.2)",""
"24","","Strongly agree","7 (1.6)","21 (3.7)","36 (6.8)","21 (4.1)","31 (4.2)","16 (4.1)","20 (4.2)","23 (4.8)","23 (6.0)","198 (4.4)",""
"25","","Strongly disagree","155 (35.5)","184 (32.7)","221 (41.5)","193 (38.0)","203 (27.8)","113 (29.1)","102 (21.5)","148 (31.2)","142 (37.0)","1461 (32.5)",""
"26","X22.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.frighten.me.","Agree","120 (27.5)","140 (24.9)","89 (16.7)","91 (17.9)","149 (20.4)","110 (28.4)","107 (22.6)","89 (18.7)","95 (24.7)","990 (22.0)","<0.001"
"27","","Disagree","95 (21.7)","96 (17.1)","98 (18.4)","115 (22.6)","123 (16.8)","65 (16.8)","90 (19.0)","128 (26.9)","77 (20.1)","887 (19.7)",""
"28","","Neutral","142 (32.5)","183 (32.5)","193 (36.2)","174 (34.3)","213 (29.2)","137 (35.3)","144 (30.4)","160 (33.7)","102 (26.6)","1448 (32.2)",""
"29","","Strongly agree","45 (10.3)","100 (17.8)","91 (17.1)","71 (14.0)","198 (27.1)","43 (11.1)","105 (22.2)","53 (11.2)","74 (19.3)","780 (17.4)",""
"30","","Strongly disagree","35 (8.0)","44 (7.8)","62 (11.6)","57 (11.2)","47 (6.4)","33 (8.5)","28 (5.9)","45 (9.5)","36 (9.4)","387 (8.6)",""
"31","X23.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.radiology.more.exciting.to.me.","Agree","152 (34.8)","198 (35.2)","179 (33.6)","161 (31.7)","240 (32.9)","156 (40.2)","173 (36.5)","186 (39.2)","136 (35.4)","1581 (35.2)","0.132"
"32","","Disagree","59 (13.5)","55 (9.8)","46 (8.6)","50 (9.8)","68 (9.3)","42 (10.8)","45 (9.5)","35 (7.4)","43 (11.2)","443 (9.9)",""
"33","","Neutral","126 (28.8)","176 (31.3)","167 (31.3)","170 (33.5)","217 (29.7)","115 (29.6)","144 (30.4)","135 (28.4)","107 (27.9)","1357 (30.2)",""
"34","","Strongly agree","86 (19.7)","115 (20.4)","128 (24.0)","109 (21.5)","186 (25.5)","61 (15.7)","101 (21.3)","108 (22.7)","86 (22.4)","980 (21.8)",""
"35","","Strongly disagree","14 (3.2)","19 (3.4)","13 (2.4)","18 (3.5)","19 (2.6)","14 (3.6)","11 (2.3)","11 (2.3)","12 (3.1)","131 (2.9)",""
"36","X24.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...These.developments.make.medicine.in.general.more.exciting.to.me.","Agree","149 (34.1)","225 (40.0)","187 (35.1)","164 (32.3)","262 (35.9)","165 (42.5)","179 (37.8)","216 (45.5)","163 (42.4)","1710 (38.1)","<0.001"
"37","","Disagree","58 (13.3)","48 (8.5)","40 (7.5)","42 (8.3)","59 (8.1)","37 (9.5)","37 (7.8)","33 (6.9)","43 (11.2)","397 (8.8)",""
"38","","Neutral","127 (29.1)","156 (27.7)","117 (22.0)","159 (31.3)","180 (24.7)","98 (25.3)","115 (24.3)","105 (22.1)","92 (24.0)","1149 (25.6)",""
"39","","Strongly agree","86 (19.7)","121 (21.5)","179 (33.6)","129 (25.4)","209 (28.6)","75 (19.3)","130 (27.4)","110 (23.2)","76 (19.8)","1115 (24.8)",""
"40","","Strongly disagree","17 (3.9)","13 (2.3)","10 (1.9)","14 (2.8)","20 (2.7)","13 (3.4)","13 (2.7)","11 (2.3)","10 (2.6)","121 (2.7)",""
"41","X25.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.never.make.the.human.physician.expendable.","Agree","148 (33.9)","152 (27.0)","139 (26.1)","134 (26.4)","202 (27.7)","129 (33.2)","120 (25.3)","154 (32.4)","96 (25.0)","1274 (28.4)","<0.001"
"42","","Disagree","26 (5.9)","50 (8.9)","52 (9.8)","37 (7.3)","53 (7.3)","35 (9.0)","43 (9.1)","23 (4.8)","41 (10.7)","360 (8.0)",""
"43","","Neutral","123 (28.1)","125 (22.2)","108 (20.3)","119 (23.4)","156 (21.4)","75 (19.3)","99 (20.9)","109 (22.9)","72 (18.8)","986 (22.0)",""
"44","","Strongly agree","131 (30.0)","213 (37.8)","221 (41.5)","208 (40.9)","304 (41.6)","143 (36.9)","206 (43.5)","179 (37.7)","157 (40.9)","1762 (39.2)",""
"45","","Strongly disagree","9 (2.1)","23 (4.1)","13 (2.4)","10 (2.0)","15 (2.1)","6 (1.5)","6 (1.3)","10 (2.1)","18 (4.7)","110 (2.4)",""
"46","X26.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...The.impact.of.artificial.intelligence.alone.will.reduce.the.number.of.radiologists.that.are.needed..","Agree","185 (42.3)","236 (41.9)","167 (31.3)","176 (34.6)","231 (31.6)","158 (40.7)","157 (33.1)","160 (33.7)","150 (39.1)","1620 (36.1)","<0.001"
"47","","Disagree","53 (12.1)","74 (13.1)","70 (13.1)","76 (15.0)","122 (16.7)","49 (12.6)","80 (16.9)","71 (14.9)","44 (11.5)","639 (14.2)",""
"48","","Neutral","134 (30.7)","172 (30.6)","215 (40.3)","176 (34.6)","235 (32.2)","142 (36.6)","145 (30.6)","172 (36.2)","115 (29.9)","1506 (33.5)",""
"49","","Strongly agree","59 (13.5)","62 (11.0)","66 (12.4)","63 (12.4)","100 (13.7)","31 (8.0)","85 (17.9)","54 (11.4)","54 (14.1)","574 (12.8)",""
"50","","Strongly disagree","6 (1.4)","19 (3.4)","15 (2.8)","17 (3.3)","42 (5.8)","8 (2.1)","7 (1.5)","18 (3.8)","21 (5.5)","153 (3.4)",""
"51","X27.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.radiology.","Agree","177 (40.5)","271 (48.1)","233 (43.7)","204 (40.2)","287 (39.3)","197 (50.8)","214 (45.1)","223 (46.9)","171 (44.5)","1977 (44.0)","<0.001"
"52","","Disagree","10 (2.3)","10 (1.8)","26 (4.9)","16 (3.1)","50 (6.8)","17 (4.4)","42 (8.9)","31 (6.5)","29 (7.6)","231 (5.1)",""
"53","","Neutral","44 (10.1)","94 (16.7)","130 (24.4)","120 (23.6)","154 (21.1)","74 (19.1)","85 (17.9)","103 (21.7)","75 (19.5)","879 (19.6)",""
"54","","Strongly agree","204 (46.7)","179 (31.8)","138 (25.9)","162 (31.9)","226 (31.0)","97 (25.0)","127 (26.8)","111 (23.4)","102 (26.6)","1346 (30.0)",""
"55","","Strongly disagree","2 (0.5)","9 (1.6)","6 (1.1)","6 (1.2)","13 (1.8)","3 (0.8)","6 (1.3)","7 (1.5)","7 (1.8)","59 (1.3)",""
"56","X28.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...Artificial.intelligence.will.improve.medicine.in.general.","Agree","201 (46.0)","266 (47.2)","221 (41.5)","238 (46.9)","299 (41.0)","209 (53.9)","207 (43.7)","235 (49.5)","176 (45.8)","2052 (45.7)","<0.001"
"57","","Disagree","7 (1.6)","19 (3.4)","22 (4.1)","6 (1.2)","36 (4.9)","15 (3.9)","29 (6.1)","22 (4.6)","18 (4.7)","174 (3.9)",""
"58","","Neutral","45 (10.3)","91 (16.2)","85 (15.9)","85 (16.7)","117 (16.0)","51 (13.1)","73 (15.4)","75 (15.8)","65 (16.9)","687 (15.3)",""
"59","","Strongly agree","179 (41.0)","182 (32.3)","201 (37.7)","178 (35.0)","264 (36.2)","112 (28.9)","158 (33.3)","140 (29.5)","121 (31.5)","1535 (34.2)",""
"60","","Strongly disagree","5 (1.1)","5 (0.9)","4 (0.8)","1 (0.2)","14 (1.9)","1 (0.3)","7 (1.5)","3 (0.6)","4 (1.0)","44 (1.0)",""
"61","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","Agree","75 (17.2)","113 (20.1)","86 (16.1)","85 (16.7)","112 (15.3)","67 (17.3)","97 (20.5)","75 (15.8)","83 (21.6)","793 (17.7)","0.001"
"62","","Disagree","94 (21.5)","113 (20.1)","119 (22.3)","115 (22.6)","207 (28.4)","112 (28.9)","128 (27.0)","134 (28.2)","93 (24.2)","1115 (24.8)",""
"63","","Neutral","198 (45.3)","228 (40.5)","207 (38.8)","208 (40.9)","271 (37.1)","154 (39.7)","158 (33.3)","179 (37.7)","135 (35.2)","1738 (38.7)",""
"64","","Strongly agree","40 (9.2)","64 (11.4)","69 (12.9)","62 (12.2)","84 (11.5)","22 (5.7)","62 (13.1)","47 (9.9)","41 (10.7)","491 (10.9)",""
"65","","Strongly disagree","30 (6.9)","45 (8.0)","52 (9.8)","38 (7.5)","56 (7.7)","33 (8.5)","29 (6.1)","40 (8.4)","32 (8.3)","355 (7.9)",""
"66","X31.All.medical.students.should.receive.teaching.in.artificial.intelligence","1","8 (1.8)","14 (2.5)","18 (3.4)","19 (3.7)","34 (4.7)","7 (1.8)","29 (6.1)","12 (2.5)","22 (5.7)","163 (3.6)","<0.001"
"67","","2","17 (3.9)","45 (8.0)","24 (4.5)","45 (8.9)","33 (4.5)","18 (4.6)","20 (4.2)","45 (9.5)","30 (7.8)","277 (6.2)",""
"68","","3","86 (19.7)","118 (21.0)","94 (17.6)","107 (21.1)","131 (17.9)","100 (25.8)","98 (20.7)","112 (23.6)","74 (19.3)","920 (20.5)",""
"69","","4","95 (21.7)","192 (34.1)","126 (23.6)","149 (29.3)","163 (22.3)","137 (35.3)","87 (18.4)","131 (27.6)","102 (26.6)","1182 (26.3)",""
"70","","5","231 (52.9)","194 (34.5)","271 (50.8)","188 (37.0)","369 (50.5)","126 (32.5)","240 (50.6)","175 (36.8)","156 (40.6)","1950 (43.4)",""
"71","X32.Teaching.in.artificial.intelligence.will.be.beneficial.for.my.career","1","7 (1.6)","10 (1.8)","15 (2.8)","10 (2.0)","19 (2.6)","5 (1.3)","22 (4.6)","13 (2.7)","17 (4.4)","118 (2.6)","<0.001"
"72","","2","10 (2.3)","38 (6.7)","22 (4.1)","37 (7.3)","38 (5.2)","16 (4.1)","31 (6.5)","36 (7.6)","34 (8.9)","262 (5.8)",""
"73","","3","75 (17.2)","143 (25.4)","118 (22.1)","110 (21.7)","139 (19.0)","91 (23.5)","74 (15.6)","107 (22.5)","72 (18.8)","929 (20.7)",""
"74","","4","128 (29.3)","186 (33.0)","137 (25.7)","169 (33.3)","183 (25.1)","141 (36.3)","112 (23.6)","158 (33.3)","119 (31.0)","1333 (29.7)",""
"75","","5","217 (49.7)","186 (33.0)","241 (45.2)","182 (35.8)","351 (48.1)","135 (34.8)","235 (49.6)","161 (33.9)","142 (37.0)","1850 (41.2)",""
"76","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","1","112 (25.6)","56 (9.9)","29 (5.4)","36 (7.1)","38 (5.2)","17 (4.4)","29 (6.1)","67 (14.1)","25 (6.5)","409 (9.1)","<0.001"
"77","","2","78 (17.8)","100 (17.8)","57 (10.7)","76 (15.0)","70 (9.6)","54 (13.9)","53 (11.2)","73 (15.4)","56 (14.6)","617 (13.7)",""
"78","","3","99 (22.7)","162 (28.8)","163 (30.6)","164 (32.3)","191 (26.2)","116 (29.9)","125 (26.4)","143 (30.1)","133 (34.6)","1296 (28.9)",""
"79","","4","74 (16.9)","118 (21.0)","118 (22.1)","131 (25.8)","184 (25.2)","125 (32.2)","95 (20.0)","100 (21.1)","92 (24.0)","1037 (23.1)",""
"80","","5","74 (16.9)","127 (22.6)","166 (31.1)","101 (19.9)","247 (33.8)","76 (19.6)","172 (36.3)","92 (19.4)","78 (20.3)","1133 (25.2)",""
"81","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","1","122 (27.9)","76 (13.5)","46 (8.6)","48 (9.4)","50 (6.8)","20 (5.2)","39 (8.2)","71 (14.9)","35 (9.1)","507 (11.3)","<0.001"
"82","","2","76 (17.4)","112 (19.9)","69 (12.9)","90 (17.7)","98 (13.4)","64 (16.5)","67 (14.1)","81 (17.1)","79 (20.6)","736 (16.4)",""
"83","","3","115 (26.3)","180 (32.0)","154 (28.9)","178 (35.0)","229 (31.4)","136 (35.1)","134 (28.3)","155 (32.6)","115 (29.9)","1396 (31.1)",""
"84","","4","58 (13.3)","110 (19.5)","135 (25.3)","109 (21.5)","177 (24.2)","110 (28.4)","100 (21.1)","97 (20.4)","98 (25.5)","994 (22.1)",""
"85","","5","66 (15.1)","85 (15.1)","129 (24.2)","83 (16.3)","176 (24.1)","58 (14.9)","134 (28.3)","71 (14.9)","57 (14.8)","859 (19.1)",""
"86","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","1","135 (30.9)","81 (14.4)","44 (8.3)","41 (8.1)","55 (7.5)","19 (4.9)","39 (8.2)","72 (15.2)","33 (8.6)","519 (11.6)","<0.001"
"87","","2","89 (20.4)","108 (19.2)","73 (13.7)","94 (18.5)","83 (11.4)","70 (18.0)","66 (13.9)","92 (19.4)","64 (16.7)","739 (16.5)",""
"88","","3","101 (23.1)","166 (29.5)","153 (28.7)","181 (35.6)","204 (27.9)","129 (33.2)","134 (28.3)","143 (30.1)","131 (34.1)","1342 (29.9)",""
"89","","4","52 (11.9)","124 (22.0)","123 (23.1)","112 (22.0)","187 (25.6)","102 (26.3)","91 (19.2)","98 (20.6)","90 (23.4)","979 (21.8)",""
"90","","5","60 (13.7)","84 (14.9)","140 (26.3)","80 (15.7)","201 (27.5)","68 (17.5)","144 (30.4)","70 (14.7)","66 (17.2)","913 (20.3)",""
